run_id	__done	run_number	function	input_size	treatment	execution_time	cpu_usage	memory_usage	energy_usage	rep_idx	schedule_order
run_413	TODO	r8	EquilibriumIndex	10^5	Unroll-4					8	252
run_188	TODO	r8	FloydWarshall	100x100	Baseline					8	253
run_203	TODO	r8	FloydWarshall	100x100	Unroll-4					8	254
run_173	TODO	r8	MaxSubarray	10^5	Unroll-4					8	255
run_158	TODO	r8	MaxSubarray	10^5	Baseline					8	256
run_279	TODO	r9	Knapsack	500_items	Baseline					9	257
run_294	TODO	r9	Knapsack	500_items	Unroll-4					9	258
run_129	TODO	r9	MaxSubarray	10^4	Baseline					9	259
run_144	TODO	r9	MaxSubarray	10^4	Unroll-4					9	260
run_249	TODO	r9	Knapsack	100_items	Baseline					9	261
run_264	TODO	r9	Knapsack	100_items	Unroll-4					9	262
run_099	TODO	r9	Strassen	256x256	Baseline					9	263
run_114	TODO	r9	Strassen	256x256	Unroll-4					9	264
run_459	TODO	r9	BFS	1e4_nodes	Baseline					9	265
run_474	TODO	r9	BFS	1e4_nodes	Unroll-4					9	266
run_219	TODO	r9	FloydWarshall	200x200	Baseline					9	267
run_234	TODO	r9	FloydWarshall	200x200	Unroll-4					9	268
run_039	TODO	r9	Mergesort	10^5	Baseline					9	269
run_054	TODO	r9	Mergesort	10^5	Unroll-4					9	270
run_174	TODO	r9	MaxSubarray	10^5	Unroll-4					9	271
run_159	TODO	r9	MaxSubarray	10^5	Baseline					9	272
run_429	TODO	r9	BFS	1e3_nodes	Baseline					9	273
run_444	TODO	r9	BFS	1e3_nodes	Unroll-4					9	274
run_009	TODO	r9	Mergesort	10^4	Baseline					9	275
run_024	TODO	r9	Mergesort	10^4	Unroll-4					9	276
run_399	TODO	r9	EquilibriumIndex	10^5	Baseline					9	277
run_414	TODO	r9	EquilibriumIndex	10^5	Unroll-4					9	278
run_189	TODO	r9	FloydWarshall	100x100	Baseline					9	279
run_204	TODO	r9	FloydWarshall	100x100	Unroll-4					9	280
run_309	TODO	r9	PrefixSum	10^6	Baseline					9	281
run_324	TODO	r9	PrefixSum	10^6	Unroll-4					9	282
run_354	TODO	r9	ProductSum	10^5	Unroll-4					9	283
run_339	TODO	r9	ProductSum	10^5	Baseline					9	284
run_069	TODO	r9	Strassen	128x128	Baseline					9	285
run_084	TODO	r9	Strassen	128x128	Unroll-4					9	286
run_384	TODO	r9	StockSpan	10^5	Unroll-4					9	287
run_369	TODO	r9	StockSpan	10^5	Baseline					9	288
run_235	TODO	r10	FloydWarshall	200x200	Unroll-4					10	289
run_220	TODO	r10	FloydWarshall	200x200	Baseline					10	290
run_190	TODO	r10	FloydWarshall	100x100	Baseline					10	291
run_205	TODO	r10	FloydWarshall	100x100	Unroll-4					10	292
run_400	TODO	r10	EquilibriumIndex	10^5	Baseline					10	293
run_415	TODO	r10	EquilibriumIndex	10^5	Unroll-4					10	294
run_340	TODO	r10	ProductSum	10^5	Baseline					10	295
run_355	TODO	r10	ProductSum	10^5	Unroll-4					10	296
run_100	TODO	r10	Strassen	256x256	Baseline					10	297
run_115	TODO	r10	Strassen	256x256	Unroll-4					10	298
run_430	TODO	r10	BFS	1e3_nodes	Baseline					10	299
run_445	TODO	r10	BFS	1e3_nodes	Unroll-4					10	300
run_250	TODO	r10	Knapsack	100_items	Baseline					10	301
run_265	TODO	r10	Knapsack	100_items	Unroll-4					10	302
run_010	TODO	r10	Mergesort	10^4	Baseline					10	303
run_025	TODO	r10	Mergesort	10^4	Unroll-4					10	304
run_325	TODO	r10	PrefixSum	10^6	Unroll-4					10	305
run_310	TODO	r10	PrefixSum	10^6	Baseline					10	306
