__run_id,__done,benchmark,compilation,cold_start_energy,warm_start_energy,cold_start_cpu_util,warm_start_cpu_util,cold_start_duration,warm_start_duration,cold_start_memory_util,warm_start_memory_util
run_24_repetition_3,DONE,richards/original.py,original,4.534,4.061,78.938,100.0,1520,1122,26030080,25792512
run_25_repetition_3,DONE,richards/original.py,numba,3.985,4.417,81.559,97.226,1634,1065,25976832,25853952
run_26_repetition_3,DONE,richards/original.py,cython,6.043,5.324,81.973,100.0,1843,1502,25649152,25382912
run_27_repetition_3,DONE,spectral_norm/original.py,original,10.037,10.269,88.793,100.0,2851,2433,76644352,76644352
run_28_repetition_3,DONE,spectral_norm/original.py,numba,9.612,9.678,88.438,99.644,2812,2509,77340672,77340672
run_29_repetition_3,DONE,spectral_norm/original.py,cython,8.597,8.487,88.01,99.58,2699,2243,79392768,79392768
run_0_repetition_4,DONE,binary_trees/original.py,original,3.981,4.023,86.621,98.868,2433,1998,444137472,479166464
run_1_repetition_4,DONE,binary_trees/original.py,numba,3.664,4.421,86.049,100.0,2280,1863,441790464,481427456
run_2_repetition_4,DONE,binary_trees/original.py,cython,2.887,2.714,79.862,98.776,1558,1312,447705088,471457792
run_3_repetition_4,DONE,dac_mergesort/original.py,original,1.971,2.001,65.549,97.551,912,647,30765056,30830592
run_4_repetition_4,DONE,dac_mergesort/original.py,numba,2.432,2.262,70.503,98.606,1007,761,30818304,30642176
run_5_repetition_4,DONE,dac_mergesort/original.py,cython,1.082,1.255,70.077,100.0,1045,609,30810112,30810112
run_6_repetition_4,DONE,dijkstra/original.py,original,2.749,2.866,69.354,100.0,1007,799,10477568,10698752
run_7_repetition_4,DONE,dijkstra/original.py,numba,2.839,2.418,66.673,100.0,931,875,10272768,10493952
run_8_repetition_4,DONE,dijkstra/original.py,cython,2.358,2.373,60.125,98.942,798,666,10915840,10915840
run_9_repetition_4,DONE,fannkuch/original.py,original,1.995,1.096,59.617,95.614,760,438,25280512,25280512
run_10_repetition_4,DONE,fannkuch/original.py,numba,1.482,1.267,65.672,97.516,912,419,25313280,25104384
run_11_repetition_4,DONE,fannkuch/original.py,cython,1.68,0.892,53.704,98.421,703,344,25747456,25473024
run_12_repetition_4,DONE,insertionsort/original.py,original,1.446,1.999,62.922,97.044,836,533,16642048,16642048
run_13_repetition_4,DONE,insertionsort/original.py,numba,1.773,1.913,58.275,100.0,760,533,16519168,16519168
run_14_repetition_4,DONE,insertionsort/original.py,cython,1.906,1.595,58.113,100.0,779,647,16871424,16871424
run_15_repetition_4,DONE,mandlebrot/original.py,original,26.502,24.66,95.83,99.873,7334,7466,388014080,394502144
run_16_repetition_4,DONE,mandlebrot/original.py,numba,27.299,26.105,95.771,99.861,7467,7152,387596288,392511488
run_17_repetition_4,DONE,mandlebrot/original.py,cython,19.113,19.165,93.83,100.0,5282,4903,377311232,382529536
run_18_repetition_4,DONE,nbody/original.py,original,4.512,4.539,79.28,99.366,1520,1331,10072064,10072064
run_19_repetition_4,DONE,nbody/original.py,numba,4.293,4.965,81.306,100.0,1615,1331,10280960,10280960
run_20_repetition_4,DONE,nbody/original.py,cython,4.432,5.1,78.948,99.079,1824,1426,10661888,10661888
run_21_repetition_4,DONE,recur_matrix_multiplication/original.py,original,3.286,3.546,75.886,98.125,1273,1046,10092544,10289152
run_22_repetition_4,DONE,recur_matrix_multiplication/original.py,numba,3.02,2.928,77.785,99.26,1463,1199,10117120,10313728
run_23_repetition_4,DONE,recur_matrix_multiplication/original.py,cython,1.279,1.343,57.396,100.0,911,591,38662144,38944768
run_24_repetition_4,DONE,richards/original.py,original,4.967,3.751,77.873,98.769,1463,1217,25866240,25866240
run_25_repetition_4,DONE,richards/original.py,numba,4.775,3.554,78.244,98.684,1520,1198,25862144,25862144
run_26_repetition_4,DONE,richards/original.py,cython,6.297,5.193,82.835,99.412,1786,1521,25837568,25571328
run_27_repetition_4,DONE,spectral_norm/original.py,original,10.174,9.941,88.982,99.701,2850,2517,78950400,78950400
run_28_repetition_4,DONE,spectral_norm/original.py,numba,9.815,9.965,89.102,99.389,2907,2471,76746752,76746752
run_29_repetition_4,DONE,spectral_norm/original.py,cython,8.993,8.713,88.628,99.516,2642,2326,80588800,80588800
run_0_repetition_5,DONE,binary_trees/original.py,original,4.211,3.741,84.847,100.0,2185,1958,444116992,478064640
run_1_repetition_5,DONE,binary_trees/original.py,numba,4.275,3.657,85.532,100.0,2185,1958,446771200,480620544
run_2_repetition_5,DONE,binary_trees/original.py,cython,2.804,2.768,78.593,100.0,1539,1236,444837888,482672640
run_3_repetition_5,DONE,dac_mergesort/original.py,original,2.352,1.878,63.436,97.683,874,685,30961664,30830592
run_4_repetition_5,DONE,dac_mergesort/original.py,numba,2.403,1.802,63.772,98.421,874,704,30846976,30912512
run_5_repetition_5,DONE,dac_mergesort/original.py,cython,1.756,1.935,58.5,97.143,722,457,31043584,30990336
run_6_repetition_5,DONE,dijkstra/original.py,original,2.844,2.383,68.294,100.0,912,894,10428416,10649600
run_7_repetition_5,DONE,dijkstra/original.py,numba,2.679,2.445,69.486,100.0,1140,913,10493952,10493952
run_8_repetition_5,DONE,dijkstra/original.py,cython,2.263,2.285,64.63,99.269,931,666,11034624,11034624
run_9_repetition_5,DONE,fannkuch/original.py,original,1.959,1.145,56.633,100.0,779,438,25264128,25124864
run_10_repetition_5,DONE,fannkuch/original.py,numba,1.255,1.404,67.174,95.652,950,419,25264128,25264128
run_11_repetition_5,DONE,fannkuch/original.py,cython,1.706,0.879,56.775,100.0,722,362,25608192,25538560
run_12_repetition_5,DONE,insertionsort/original.py,original,1.96,1.75,58.033,100.0,741,552,16519168,16519168
run_13_repetition_5,DONE,insertionsort/original.py,numba,1.668,1.899,61.99,97.333,798,552,16465920,16465920
run_14_repetition_5,DONE,insertionsort/original.py,cython,2.043,1.837,58.311,98.387,760,571,16998400,16998400
run_15_repetition_5,DONE,mandlebrot/original.py,original,26.924,27.263,95.882,99.933,7448,7069,398532608,400498688
run_16_repetition_5,DONE,mandlebrot/original.py,numba,27.03,27.857,95.921,99.742,7943,7343,392695808,397807616
run_17_repetition_5,DONE,mandlebrot/original.py,cython,19.141,19.911,94.534,100.0,5890,5492,374214656,379424768
run_18_repetition_5,DONE,nbody/original.py,original,4.071,4.156,80.178,100.0,1805,1409,10313728,10313728
run_19_repetition_5,DONE,nbody/original.py,numba,3.623,4.793,81.656,99.44,1767,1275,10096640,10096640
run_20_repetition_5,DONE,nbody/original.py,cython,4.949,5.242,79.515,98.649,1520,1389,10530816,10530816
run_21_repetition_5,DONE,recur_matrix_multiplication/original.py,original,3.011,3.395,76.7,98.639,1292,1046,10076160,10076160
run_22_repetition_5,DONE,recur_matrix_multiplication/original.py,numba,3.325,3.489,76.386,100.0,1254,1008,10027008,10223616
run_23_repetition_5,DONE,recur_matrix_multiplication/original.py,cython,1.314,1.714,55.601,99.074,722,495,38936576,38989824
run_24_repetition_5,DONE,richards/original.py,original,4.695,4.34,79.514,100.0,1558,1084,26025984,25776128
run_25_repetition_5,DONE,richards/original.py,numba,4.404,3.985,79.617,98.548,1539,1161,25853952,25853952
run_26_repetition_5,DONE,richards/original.py,cython,5.85,5.241,83.756,98.671,1976,1483,25612288,25554944
run_27_repetition_5,DONE,spectral_norm/original.py,original,10.174,10.224,90.364,99.305,2983,2585,77291520,77291520
run_28_repetition_5,DONE,spectral_norm/original.py,numba,9.794,9.872,88.749,99.545,2888,2490,78184448,78184448
run_29_repetition_5,DONE,spectral_norm/original.py,cython,8.886,8.684,87.475,98.992,2546,2243,80171008,80171008
run_0_repetition_6,DONE,binary_trees/original.py,original,4.16,3.597,84.199,99.206,2204,1996,451018752,488587264
run_1_repetition_6,DONE,binary_trees/original.py,numba,4.024,4.483,86.206,99.455,2280,1902,455565312,483106816
run_2_repetition_6,DONE,binary_trees/original.py,cython,2.528,2.692,81.008,100.0,1691,1274,443162624,476643328
run_3_repetition_6,DONE,dac_mergesort/original.py,original,2.148,1.819,65.274,98.378,874,685,30920704,30789632
run_4_repetition_6,DONE,dac_mergesort/original.py,numba,1.847,1.887,67.571,99.228,931,685,30846976,30912512
run_5_repetition_6,DONE,dac_mergesort/original.py,cython,1.439,1.446,64.603,97.822,836,533,30941184,30810112
run_6_repetition_6,DONE,dijkstra/original.py,original,2.255,2.929,68.063,98.625,969,742,10358784,10579968
run_7_repetition_6,DONE,dijkstra/original.py,numba,2.538,2.911,70.32,98.432,1045,875,10477568,10698752
